batch,analysis,employment_status,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,duration_adjusted_estimate,duration_adjusted_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived,midpoint_adjusted_estimate,midpoint_adjusted_minus_derived
base,derived_duration_midpoint_main_grid,Employed For Wages,Weekday,NA,-1.3107363917605708,7.1432239704008,8.45396036216137,2.916243789320114,8.215488600270827,-0.2384717618905423,8.382323899761499,-0.07163646239987109,2.9051876110313817,-0.01105617828873306,2.600628796327001,-0.3156149929931118
base,derived_duration_midpoint_main_grid,Employed For Wages,Weekend,NA,-0.8296067074382758,7.471494166152486,8.301100873590762,3.320943729357105,8.340153063219404,0.03905218962864154,8.335217913599823,0.03411704000906113,3.5019249489302817,0.1809812195731766,3.1540919535089222,-0.16685177584818334
base,derived_duration_midpoint_main_grid,Homemaker,Weekday,NA,-2.081345155764234,9.005203887285186,11.08654904304942,3.4619293657604753,10.918944690937035,-0.16760435211238445,10.840633559792646,-0.24591548325677337,3.570086025359082,0.1081566595986061,2.33384723757873,-1.1280821281817452
base,derived_duration_midpoint_main_grid,Homemaker,Weekend,NA,-1.6048058222695207,9.202119470060198,10.80692529232972,3.798656823895339,10.827532511191984,0.02060721886226524,10.590972649931578,-0.2159526423981415,4.122243223060758,0.32358639916541954,2.9191357891693,-0.8795210347260394
base,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekday,NA,-13.98125428077212,-13.934032533771395,0.04722174700072479,10.042356592728243,-0.658072694119395,-0.7052944411201197,4.374333468585636,4.327111721584911,-14.471276594168536,-0.5136331868967794,-11.656188456819278,2.301454950452481
base,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekend,NA,-13.385758495653292,-13.53610141798998,23.849657077663313,22.539070043178363,-0.5210949717022485,-24.37075204936556,4.317430935868319,-19.532226141794993,-13.790704176592344,11.670225780229297,-11.023991239801402,-9.563061282979769
base,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekday,NA,4.569099536381543,13.85402423895937,9.284924702577827,9.211561887670456,10.766168099051406,1.4812433964735785,8.921031986429375,-0.3638927161484524,9.785057672490124,0.5734957848196682,8.646820882111681,-0.5647410055587745
base,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekend,NA,5.155379654688918,14.164114545600942,9.008734890912024,9.65974710014493,10.598858363791296,1.590123472879272,8.564676122765666,-0.44405876814635725,10.445784910643097,0.7860378104981649,9.367013518683269,-0.29273358146166295
base,derived_duration_midpoint_main_grid,Retired,Weekday,NA,1.1703114205697491,9.712476858152998,8.542165437583249,5.441394139361374,8.651192984848583,0.1090275472653346,8.156259285268556,-0.3859061523146927,5.277602367127135,-0.16379177223423902,4.836420440803415,-0.6049736985579592
base,derived_duration_midpoint_main_grid,Retired,Weekend,NA,1.5864314004114328,9.942959343174378,8.356527942762945,5.7646953717929055,8.748319873943101,0.39179193118015654,8.103578575232737,-0.25294936753020814,5.799370307696209,0.03467493590330406,5.324430452081164,-0.4402649197117406
base,derived_duration_midpoint_main_grid,Self Employed,Weekday,NA,-0.2126851778800541,11.689442914257016,11.90212809213707,5.738378868188481,10.435080195855305,-1.467047896281768,9.776903918764948,-2.125224173372123,5.341849649959069,-0.3965292182294125,4.157960530472905,-1.5804183377155765
