batch,analysis,employment_status,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,duration_adjusted_estimate,duration_adjusted_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived,midpoint_adjusted_estimate,midpoint_adjusted_minus_derived
base,derived_duration_midpoint_main_grid,Employed For Wages,Weekday,NA,-1.738121280769709,7.197459667138626,8.935580947908335,2.729669193184458,9.350038676577087,0.4144577286687525,9.49892924647355,0.5633482985652147,2.7033966371221103,-0.02627255606234868,2.0405716956554176,-0.6890974975290405
base,derived_duration_midpoint_main_grid,Employed For Wages,Weekend,NA,-1.3189273276314264,7.936798461506806,9.255725789138232,3.3089355669376896,9.570434918070632,0.31470912893239955,9.561518960700822,0.30579317156258945,3.307157798077901,-0.00177776885978886,2.56949879127975,-0.7394367756579392
base,derived_duration_midpoint_main_grid,Homemaker,Weekday,NA,-5.384572596920528,-2.244133122472605,3.1404394744479225,20.18564714030343,4.766752338230952,1.6263128637830295,6.764451706944369,3.6240122324964466,-0.9571423650243588,2.8572104946722057,-0.29198952137085193,3.5223633383257145
base,derived_duration_midpoint_main_grid,Homemaker,Weekend,NA,-4.984225132235383,-1.520438258751912,3.463786873483471,20.74766830450635,5.002088105078535,1.5383012315950635,6.846871409831068,3.3830845363475968,-0.3720813459972054,2.8802503494964427,0.21317452015817911,3.4655062156518284
base,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekday,NA,8.625243021301172,6.811144394013352,22.18590137271218,19.718193707657264,0.10126611897252044,-22.08463525373966,-1.7908150342746298,-23.97671640698681,8.636095975537403,-11.08209773211986,11.38966228214714,-8.328531425510123
base,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekend,NA,9.040874863985788,7.510335466538514,22.46946060255273,20.27560516526215,0.28686314594137485,-22.18259745661135,-1.758066927484581,-24.22752753003731,9.220859908880463,-11.054745256381684,11.911412235350287,-8.36419292991186
base,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekday,NA,8.354522742295101,16.621950508120506,8.267427765825405,12.488236625207804,12.28706622336216,4.019638457536756,10.217150064971536,1.9497222991461312,13.88378927585865,1.3955526506508455,12.849157533899191,0.3609209086913871
base,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekend,NA,8.812127144288384,17.431022704786642,8.618895560498258,13.121574924537512,12.558805486355142,3.9399099258568846,10.320752978155108,1.70185741765685,14.527144112494035,1.405569187956523,13.400283434653122,0.27870851011561015
base,derived_duration_midpoint_main_grid,Retired,Weekday,NA,-1.0939291854278514,6.734928720073435,7.828857905501286,2.8204997673227914,8.053370048681517,0.22451214318023105,8.176606643225686,0.34774873772439996,2.926122326684447,0.105622559361656,2.6855901928285366,-0.13490957449425522
base,derived_duration_midpoint_main_grid,Retired,Weekend,NA,-0.6705299573361085,7.50498038585214,8.175510343188249,3.417225214258016,8.297054686733784,0.12154434354553524,8.258211726217196,0.08270138302894736,3.5462372642319315,0.12901204997391602,3.2229594721628647,-0.19426574209515124
