batch,analysis,employment_status,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear
base,derived_duration_midpoint_main_grid,Employed For Wages,Weekday,NA,-1.738121280769709,7.197459667138626,8.935580947908335,2.729669193184458
base,derived_duration_midpoint_main_grid,Employed For Wages,Weekend,NA,-1.3189273276314264,7.936798461506806,9.255725789138232,3.3089355669376896
base,derived_duration_midpoint_main_grid,Homemaker,Weekday,NA,-5.384572596920528,-2.244133122472605,3.1404394744479225,20.18564714030343
base,derived_duration_midpoint_main_grid,Homemaker,Weekend,NA,-4.984225132235383,-1.520438258751912,3.463786873483471,20.74766830450635
base,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekday,NA,8.625243021301172,6.811144394013352,22.18590137271218,19.718193707657264
base,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekend,NA,9.040874863985788,7.510335466538514,22.46946060255273,20.27560516526215
base,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekday,NA,8.354522742295101,16.621950508120506,8.267427765825405,12.488236625207804
base,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekend,NA,8.812127144288384,17.431022704786642,8.618895560498258,13.121574924537512
base,derived_duration_midpoint_main_grid,Retired,Weekday,NA,-1.0939291854278514,6.734928720073435,7.828857905501286,2.8204997673227914
base,derived_duration_midpoint_main_grid,Retired,Weekend,NA,-0.6705299573361085,7.50498038585214,8.175510343188249,3.417225214258016
base,derived_duration_midpoint_main_grid,Self Employed,Weekday,NA,-0.08230761919041829,4.39045882876282,4.472766447953238,2.154075604786201
base,derived_duration_midpoint_main_grid,Self Employed,Weekend,NA,0.3715652958864893,5.154739929119918,4.783174633233429,2.763152612503204
base,derived_duration_midpoint_main_grid,Student,Weekday,NA,-0.598185272315346,6.871569911513349,7.469755183828696,3.1366923195990015
base,derived_duration_midpoint_main_grid,Student,Weekend,NA,-0.13379908638851945,7.666429314833989,7.800228401222508,3.766315114222735
base,derived_duration_midpoint_main_grid,Unable To Work,Weekday,NA,-2.16492004344495,8.422067353257244,10.586987396702192,3.128573654906147
base,derived_duration_midpoint_main_grid,Unable To Work,Weekend,NA,-1.7158513879348172,9.191914227289606,10.907765615224424,3.7380314196773945
dst,derived_duration_midpoint_main_grid,Employed For Wages,Weekday,DST,-1.6709323361957693,7.258845730736576,8.929778066932345,2.793956697270403
dst,derived_duration_midpoint_main_grid,Employed For Wages,Weekday,NoDST,-1.4793469352853528,7.371410801406187,8.85075773669154,2.946031933060417
dst,derived_duration_midpoint_main_grid,Employed For Wages,Weekend,DST,-1.2416654532016198,8.010356134238766,9.2520215874403835,3.384345340518573
dst,derived_duration_midpoint_main_grid,Employed For Wages,Weekend,NoDST,-1.0476693734483795,8.114013938102486,9.161683311550869,3.5331722823270537
dst,derived_duration_midpoint_main_grid,Homemaker,Weekday,DST,-3.0284651422712603,-0.26620319690986266,2.7622619453613977,22.35266583040944
dst,derived_duration_midpoint_main_grid,Homemaker,Weekday,NoDST,-2.8368797413608435,-0.15363812624025203,2.6832416151205916,22.50474106619945
dst,derived_duration_midpoint_main_grid,Homemaker,Weekend,DST,-2.600333784313458,0.47915306821665754,3.0794868525301156,22.9394096419516
dst,derived_duration_midpoint_main_grid,Homemaker,Weekend,NoDST,-2.4063377045602183,0.58281087208037885,2.989148576640597,23.08823658376008
dst,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekday,DST,8.689209366782322,6.824738398377797,22.135529031595475,19.75697388258006
dst,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekday,NoDST,8.880794767692738,6.937303469047408,22.05650870135467,19.90904911837007
dst,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekend,DST,9.115019586728744,7.534674113637718,22.419654526908975,20.32484685018323
dst,derived_duration_midpoint_main_grid,Out Of Work Less Than One,Weekend,NoDST,9.309015666481985,7.638331917501439,22.329316251019456,20.47367379199171
dst,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekday,DST,8.203959728063253,16.458051659861017,8.254091931797763,12.331005693962137
dst,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekday,NoDST,8.39554512897367,16.570616730530627,8.175071601556958,12.483080929752148
dst,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekend,DST,8.672315250372703,17.278417479430473,8.60610222905777,12.97536636490159
dst,derived_duration_midpoint_main_grid,Out Of Work One Or More,Weekend,NoDST,8.866311330125942,17.382075283294196,8.515763953168253,13.124193306710067
dst,derived_duration_midpoint_main_grid,Retired,Weekday,DST,-1.2500044241054689,6.779360916426864,8.029365340532333,2.764678246160698
dst,derived_duration_midpoint_main_grid,Retired,Weekday,NoDST,-1.0584190231950523,6.891925987096474,7.950345010291526,2.916753481950711
dst,derived_duration_midpoint_main_grid,Retired,Weekend,DST,-0.8188412298483541,7.5554539395875135,8.374295169435868,3.36830635486958
dst,derived_duration_midpoint_main_grid,Retired,Weekend,NoDST,-0.624845150095114,7.659111743451235,8.28395689354635,3.517133296678061
dst,derived_duration_midpoint_main_grid,Self Employed,Weekday,DST,-0.3498529137189021,4.294482061834522,4.644334975553424,1.9723145740578096
dst,derived_duration_midpoint_main_grid,Self Employed,Weekday,NoDST,-0.15826751280848553,4.4070471325041325,4.565314645312618,2.124389809847824
dst,derived_duration_midpoint_main_grid,Self Employed,Weekend,DST,0.1148920937643198,5.068918686018608,4.954026592254288,2.5919053898914637
dst,derived_duration_midpoint_main_grid,Self Employed,Weekend,NoDST,0.3088881735175597,5.17257648988233,4.86368831636477,2.7407323316999443
dst,derived_duration_midpoint_main_grid,Student,Weekday,DST,-0.4981266782090134,6.926285230694302,7.424411908903315,3.214079276242644
dst,derived_duration_midpoint_main_grid,Student,Weekday,NoDST,-0.3065412772985969,7.0388503013639125,7.345391578662509,3.366154512032658
dst,derived_duration_midpoint_main_grid,Student,Weekend,DST,-0.02343165359193592,7.73180301340968,7.755234667001616,3.854185679908872
dst,derived_duration_midpoint_main_grid,Student,Weekend,NoDST,0.17056442616130407,7.835460817273401,7.664896391112097,4.003012621717352
dst,derived_duration_midpoint_main_grid,Unable To Work,Weekday,DST,-2.148645756779006,8.440119391238866,10.588765148017872,3.1457368172299303
dst,derived_duration_midpoint_main_grid,Unable To Work,Weekday,NoDST,-1.9570603558685895,8.552684461908477,10.509744817777069,3.297812053019944
dst,derived_duration_midpoint_main_grid,Unable To Work,Weekend,DST,-1.6882866631591316,9.220780730602751,10.909067393761882,3.7662470337218097
dst,derived_duration_midpoint_main_grid,Unable To Work,Weekend,NoDST,-1.4942905834058915,9.324438534466472,10.818729117872364,3.9150739755302904
