outcome,outcome_type,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,batch
onset,ClockTime,primary,month_main,NA,NA,NA,01,NA,NA,-1.6737528932358008,-4.657892479627795,1.3103866931561932,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,02,NA,NA,-1.663495179904423,-4.647865349918531,1.3208749901096843,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,03,NA,NA,-1.6709323361957693,-4.65499188918821,1.3131272167966717,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,04,NA,NA,-1.6745743170379148,-4.658569855197916,1.309421221122086,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,05,NA,NA,-1.6583917274200612,-4.642752424116661,1.325968969276538,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,06,NA,NA,-1.6326509813814285,-4.61736162120655,1.3520596584436937,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,07,NA,NA,-1.6435418884096382,-4.628037488208742,1.3409537113894654,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,08,NA,NA,-1.6369459303863687,-4.62116341987139,1.3472715590986524,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,09,NA,NA,-1.669443817491666,-4.653252504538523,1.3143648695551904,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,10,NA,NA,-1.663811416480895,-4.647414851156535,1.3197920181947445,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,11,NA,NA,-1.6620980817603872,-4.6456495979609915,1.321453434440217,pooled
onset,ClockTime,primary,month_main,NA,NA,NA,12,NA,NA,-1.6806013076361928,-4.664187481415994,1.3029848661436088,pooled
midpoint,ClockTime,primary,month_main,NA,NA,NA,01,NA,NA,2.7458008222323276,-0.48077164302545095,5.972373287490106,pooled
midpoint,ClockTime,primary,month_main,NA,NA,NA,02,NA,NA,2.763888101244592,-0.46293293034728666,5.9907091328364706,pooled
midpoint,ClockTime,primary,month_main,NA,NA,NA,03,NA,NA,2.757530735897596,-0.4689542947745289,5.984015766569721,pooled
midpoint,ClockTime,primary,month_main,NA,NA,NA,04,NA,NA,2.7651230130506463,-0.4612949397360335,5.991540965837326,pooled
midpoint,ClockTime,primary,month_main,NA,NA,NA,05,NA,NA,2.7711180701525806,-0.4556977839632359,5.997933924268397,pooled
