batch,strata,series,difference
base,Overall | Employed For Wages | Weekday | AllDST,Direct Midpoint Model,-0.01105617828873306
base,Overall | Employed For Wages | Weekday | AllDST,Midpoint Model Adjusted for Duration,-0.3156149929931118
base,Overall | Employed For Wages | Weekend | AllDST,Direct Midpoint Model,0.1809812195731766
base,Overall | Employed For Wages | Weekend | AllDST,Midpoint Model Adjusted for Duration,-0.16685177584818334
base,Overall | Homemaker | Weekday | AllDST,Direct Midpoint Model,0.1081566595986061
base,Overall | Homemaker | Weekday | AllDST,Midpoint Model Adjusted for Duration,-1.1280821281817452
base,Overall | Homemaker | Weekend | AllDST,Direct Midpoint Model,0.32358639916541954
base,Overall | Homemaker | Weekend | AllDST,Midpoint Model Adjusted for Duration,-0.8795210347260394
base,Overall | Out Of Work Less Than One | Weekday | AllDST,Direct Midpoint Model,-0.5136331868967794
base,Overall | Out Of Work Less Than One | Weekday | AllDST,Midpoint Model Adjusted for Duration,2.301454950452481
base,Overall | Out Of Work Less Than One | Weekend | AllDST,Direct Midpoint Model,11.670225780229297
base,Overall | Out Of Work Less Than One | Weekend | AllDST,Midpoint Model Adjusted for Duration,-9.563061282979769
base,Overall | Out Of Work One Or More | Weekday | AllDST,Direct Midpoint Model,0.5734957848196682
base,Overall | Out Of Work One Or More | Weekday | AllDST,Midpoint Model Adjusted for Duration,-0.5647410055587745
base,Overall | Out Of Work One Or More | Weekend | AllDST,Direct Midpoint Model,0.7860378104981649
base,Overall | Out Of Work One Or More | Weekend | AllDST,Midpoint Model Adjusted for Duration,-0.29273358146166295
base,Overall | Retired | Weekday | AllDST,Direct Midpoint Model,-0.16379177223423902
base,Overall | Retired | Weekday | AllDST,Midpoint Model Adjusted for Duration,-0.6049736985579592
base,Overall | Retired | Weekend | AllDST,Direct Midpoint Model,0.03467493590330406
base,Overall | Retired | Weekend | AllDST,Midpoint Model Adjusted for Duration,-0.4402649197117406
base,Overall | Self Employed | Weekday | AllDST,Direct Midpoint Model,-0.3965292182294125
base,Overall | Self Employed | Weekday | AllDST,Midpoint Model Adjusted for Duration,-1.5804183377155765
base,Overall | Self Employed | Weekend | AllDST,Direct Midpoint Model,-0.2504348863553396
base,Overall | Self Employed | Weekend | AllDST,Midpoint Model Adjusted for Duration,-1.415372600840188
base,Overall | Student | Weekday | AllDST,Direct Midpoint Model,-0.06407370241219112
base,Overall | Student | Weekday | AllDST,Midpoint Model Adjusted for Duration,1.0225582015295736
base,Overall | Student | Weekend | AllDST,Direct Midpoint Model,0.12287346778008156
base,Overall | Student | Weekend | AllDST,Midpoint Model Adjusted for Duration,1.1581001308283163
base,Overall | Unable To Work | Weekday | AllDST,Direct Midpoint Model,-0.08304457175122515
base,Overall | Unable To Work | Weekday | AllDST,Midpoint Model Adjusted for Duration,0.47833733195035144
base,Overall | Unable To Work | Weekend | AllDST,Direct Midpoint Model,0.04487713342526511
base,Overall | Unable To Work | Weekend | AllDST,Midpoint Model Adjusted for Duration,0.5875403692505152
dst,Overall | Employed For Wages | Weekday | DST,Direct Midpoint Model,-0.03104622520085698
dst,Overall | Employed For Wages | Weekday | DST,Midpoint Model Adjusted for Duration,-0.16278496834423528
