batch,analysis,age_at_sleep,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear
base,derived_duration_midpoint_age,18,NA,NA,1.153932308694702,62.45513831626637,13.301206007571672,7.804535312480538
base,derived_duration_midpoint_age,19,NA,NA,-0.05569892701791668,64.00065872080374,16.056357647821656,7.972479896892912
base,derived_duration_midpoint_age,20,NA,NA,-1.2653301627305331,65.54617912534111,18.811509288071647,8.14042448130529
base,derived_duration_midpoint_age,21,NA,NA,-2.4749613984431114,67.09169952987848,21.566660928321596,8.308369065717686
base,derived_duration_midpoint_age,22,NA,NA,-3.68459263415574,68.63721993441585,0.3218125685715876,20.476313650130052
base,derived_duration_midpoint_age,23,NA,NA,-4.894223869868323,70.18274033895322,3.0769642088215505,20.644258234542452
base,derived_duration_midpoint_age,24,NA,NA,-6.103855105580955,71.72826074349061,5.832115849071556,20.812202818954823
base,derived_duration_midpoint_age,25,NA,NA,-7.313486341293565,73.27378114802798,8.587267489321547,20.98014740336721
base,derived_duration_midpoint_age,26,NA,NA,-8.523117577006158,74.81930155256535,11.34241912957151,21.1480919877796
base,derived_duration_midpoint_age,27,NA,NA,-9.732748812718771,76.36482195710273,14.097570769821502,21.31603657219198
base,derived_duration_midpoint_age,28,NA,NA,-10.9423800484314,77.9103423616401,16.852722410071507,21.48398115660435
base,derived_duration_midpoint_age,29,NA,NA,-12.152011284144017,79.455862766177475,19.6078740503215,21.651925741016733
base,derived_duration_midpoint_age,30,NA,NA,-13.361642519856606,81.00138317071485,22.363025690571448,21.81987032542912
base,derived_duration_midpoint_age,31,NA,NA,-14.571273755569225,82.54690357525222,1.1181773308214389,9.987814909841497
base,derived_duration_midpoint_age,32,NA,NA,-15.780904991281808,84.09242397978959,3.873328971071402,10.155759494253893
base,derived_duration_midpoint_age,33,NA,NA,-16.99053622699441,85.63794438432696,6.628480611321365,10.323704078666273
base,derived_duration_midpoint_age,34,NA,NA,-18.200167462707057,87.18346478886433,9.383632251571385,10.491648663078635
base,derived_duration_midpoint_age,35,NA,NA,-19.409798698419657,88.72898519340171,12.138783891821362,10.659593247491024
base,derived_duration_midpoint_age,36,NA,NA,-20.619429934132263,90.27450559793908,14.89393553207134,10.827537831903406
base,derived_duration_midpoint_age,37,NA,NA,-21.82906116984483,91.82002600247644,17.649087172321273,10.995482416315806
base,derived_duration_midpoint_age,38,NA,NA,-23.038692405557505,93.36554640701382,20.40423881257132,11.163427000728156
base,derived_duration_midpoint_age,39,NA,NA,-24.24832364127007,94.91106681155118,23.15939045282124,11.331371585140552
base,derived_duration_midpoint_age,40,NA,NA,-25.457954876982665,96.45658721608856,1.9145420930712336,23.49931616955295
base,derived_duration_midpoint_age,41,NA,NA,-26.667586112695307,98.00210762062594,4.669693733321239,23.667260753965312
