"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,24.7016136296772,2.86010941489508,178.869181881602,19.057716086294,30.3455111730604
"emm_employment_x_weekend","Student","Weekday",NA,NA,23.7462697227417,2.97982171551595,179.102208358425,17.8661941779575,29.626345267526
"emm_employment_x_weekend","Retired","Weekday",NA,NA,26.0065138232634,2.84148330408204,178.942072547043,20.399387025134,31.6136406213929
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,23.6965076205169,1.56403517580626,179.129721320426,20.6102037210958,26.7828115199379
"emm_employment_x_weekend","Working","Weekend",NA,NA,23.3835684956337,2.22979213539591,179.268853026194,18.9835524702955,27.7835845209718
"emm_employment_x_weekend","Student","Weekend",NA,NA,24.35192029308,3.16217611402849,179.321016691418,18.1120570114231,30.591783574737
"emm_employment_x_weekend","Retired","Weekend",NA,NA,22.5960784615616,3.43158375065798,179.233367152839,15.8245756066895,29.3675813164337
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,23.9376995433233,1.64849188387122,179.284524267684,20.6847566869543,27.1906423996923
"emm_employment_main","Working",NA,NA,NA,24.0274989428,1.84910719862256,179.066130163784,20.3786548314371,27.6763430541628
"emm_employment_main","Student",NA,NA,NA,24.0560299381056,2.21002599416861,179.200338998123,19.6950068175201,28.4170530586911
"emm_employment_main","Retired",NA,NA,NA,24.2622453558281,2.24995066971626,179.15450983551,19.822431534276,28.7020591773802
"emm_employment_main","Not Working",NA,NA,NA,23.8198653214942,1.13807620771664,179.251015220404,21.5741147607245,26.0656158822639
"emm_weekend_main",NA,"Weekday",NA,NA,24.1895943452684,1.46772559409279,179.180002871181,21.2933432576447,27.085845432892
"emm_weekend_main",NA,"Weekend",NA,NA,23.7120004241376,1.46761086352003,179.389102801539,20.8159986850387,26.6080021632366
"emm_sex_main",NA,NA,"Female",NA,24.1222156096143,0.70425696481296,179.239327015663,22.7325141433271,25.5119170759015
"emm_sex_main",NA,NA,"I prefer not to answer",NA,27.2179952398908,1.89643867829112,179.109486855198,23.4757580604233,30.9602324193584
"emm_sex_main",NA,NA,"Intersex",NA,20.9313634745528,1.99689420287116,179.271192900935,16.9909218635546,24.871805085551
"emm_sex_main",NA,NA,"Male",NA,24.067774857584,1.34178058202069,179.218793643272,21.4200539438841,26.7154957712839
"emm_sex_main",NA,NA,"No matching concept",NA,21.7779887526679,1.92084430339642,179.21680848905,17.9876074599571,25.5683700453786
"emm_sex_main",NA,NA,"PMI: Skip",NA,28.6873570958266,2.4860940080481,179.144531848759,23.7815612187021,33.5931529729511
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,23.541562364168,2.43436586954034,179.168340141008,18.7378456843202,28.3452790440157
"emm_month_main",NA,NA,NA,"01",21.775490478329,2.27646026753545,178.251676048499,17.283210705839,26.267770250819
"emm_month_main",NA,NA,NA,"02",20.7317038297079,2.11697538127534,179.006250407251,16.5542657992924,24.9091418601233
"emm_month_main",NA,NA,NA,"03",25.4681779869948,2.29175968522947,179.487290846245,20.9459197085035,29.990436265486
"emm_month_main",NA,NA,NA,"04",22.2283494938367,2.54348249200341,179.173008837978,17.2093146561263,27.2473843315471
"emm_month_main",NA,NA,NA,"05",22.1365719665412,3.15627474308779,179.10935175302,15.9083037456874,28.3648401873949
"emm_month_main",NA,NA,NA,"06",24.5409720433021,3.33655034338492,179.179916628218,17.9569841156832,31.1249599709209
"emm_month_main",NA,NA,NA,"07",23.3769419599978,2.60806597940366,179.134343126017,18.2304574599964,28.5234264599992
"emm_month_main",NA,NA,NA,"08",24.4944575818636,2.41532037430645,179.201374799064,19.7283292151132,29.260585948614
"emm_month_main",NA,NA,NA,"09",24.1390560156309,2.47254325546445,179.154814996062,19.2600016698627,29.0181103613992
"emm_month_main",NA,NA,NA,"10",24.0738458067688,1.96032378175893,179.210157424302,20.2055591104001,27.9421325031374
"emm_month_main",NA,NA,NA,"11",27.1700122371847,2.05885609482829,179.002540223412,23.1072607101622,31.2327637642072
"emm_month_main",NA,NA,NA,"12",25.9399278853307,2.64426108544094,179.008556575631,20.7219948144765,31.157860956185
"emm_month_x_weekend",NA,"Weekday",NA,"01",21.9847849055109,1.42445307437436,178.457503552249,19.1738457556421,24.7957240553798
"emm_month_x_weekend",NA,"Weekday",NA,"02",20.9409982568898,2.36141096791214,178.98863658883,16.2812111489062,25.6007853648734
"emm_month_x_weekend",NA,"Weekday",NA,"03",25.6774724141767,2.45992236315431,179.485011906194,20.8233835227316,30.5315613056218
